ZJL1	1	0	0	0	0	0	0.5	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZJL10	1	0	0	0	0	0	0.5	0	0	0.7	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJL100	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ZJL101	0	0	0	0	0	0	0.8	0.1	0.3	0.1	0.3	0.1	0.3	0.3	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
ZJL102	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
ZJL103	0	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0
ZJL104	0	1	0	0	0	0	0.5	0.5	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0
ZJL105	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
ZJL106	0	0	1	0	0	0	0.6	0.5	0.3	0.4	0.2	0.2	0.1	0.1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ZJL107	0	0	0	0	0	1	0.7	0.3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
ZJL108	0	1	0	0	0	0	0.5	0.2	0.5	2	0.5	0.5	0.5	0.5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ZJL109	0	1	0	0	0	0	0.8	0	0	0.5	0.8	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0	0
ZJL11	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJL110	0	0	0	0	0	1	0.3	0.6	0.1	0	0	0.1	0.1	0.1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
ZJL111	0	0	0	0	0	1	0.5	0.5	0.5	0	0.2	0.2	0.2	0.2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ZJL113	0	0	1	0	0	0	0.3	0.3	0.3	0.2	0.1	0.1	0.1	0.1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
ZJL114	0	0	0	0	0	1	0.5	0.8	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ZJL115	0	0	0	0	0	1	0.5	0.2	0.5	0.3	0.3	0.5	0.5	0.5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ZJL116	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
